message,label
GPS Position Mismatch.,Medium
Yaw Error.,Low
Home Point Recorded. RTH Altitude : 30m.,Normal
Motor is Blocked. Motor stuck. Check for objects blocking motor or contact DJI Support for assistance,Medium
Ambient light too low. Vision system and obstacle sensing unavailable. Fly with caution,Low
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Medium
Gimbal calibrating,Normal
GPS Position Mismatch.,Medium
Battery nnn requires maintenance,Low
Downlink Lost.,Low
GPS Position Mismatch.,Medium
Locating Landing Point,Normal
GPS Position Mismatch.,Medium
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Low
In Flight.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
High wind velocity. Fly with caution.,Medium
Remote controller signal lost,Low
Landing Gear Raised.,Normal
Strong Interference to Remote Controller. Signal interruption maybe more likely. Fly with caution,Medium
Home Point recorded. Return-to-Home Altitude : 98FT,Normal
GPS Position Mismatch.,Medium
Motors Started.,Normal
Large Wind Velocity. Fly with caution.,Medium
Return-to-Home Altitude : 65FT,Normal
Strong wireless interference. Please fly with caution.,Low
Aircraft is too far away,Medium
"Home Point Recorded, Return-to-Home Altitude : 98FT",Normal
Entered Cruise Control mode. Press C1 or C2 to exit,Normal
Braking now! Return sticks to midpoints first.,Low
Taking Off.,Normal
GPS Position Mismatch.,Medium
Correcting Landing Position,Normal
Landing Canceled.,Normal
GPS Position Mismatch.,Medium
Strong Interference. Fly with caution.,Low
Low battery. Return to home promptly,Medium
Cannot Takeoff in Travel Mode. Exit Travel Mode.,Low
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Braking now! Return sticks to midpoints first.,Low
Backward Obstacle Sensing is not functioning.,Low
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Low
Tap the screen lightly to focus.,Normal
Compass Interference. Temp Max Altitude : 98ft,Low
CrystalSky is too hot. Cool down the monitor to prevent overheating,Medium
Data Recorder File Index is 46.,Normal
Fly with caution. Compass abnormal Solution: 1. Ensure there are no magnets or metal objects near the aircraft. The ground or walls may contain metal. Move away from sources of interference before,Low
GPS Position Mismatch.,Medium
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Medium
Landing.,Normal
GPS Position Mismatch.,Medium
Camera storage full,Medium
GPS Position Mismatch.,Medium
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Low
Landing.,Normal
Landing Gear Raised.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Data Recorder File Index is 8.,Normal
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Landing Gear Lowered.,Normal
Landing Canceled.,Normal
Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally,Medium
Strong Interference. Fly with caution.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Obstacle Avoidance will be disabled in landing.,Normal
GPS Position Mismatch.,Medium
Ground Plain. Safe to Land.,Normal
Subject lost. Searching ...,Low
Data Recorder File Index is 46.,Normal
Exited Hyperlapse mode,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Updated.,Normal
GPS Position Mismatch.,Medium
Home Point Updated.,Normal
Subject lost. Searching ...,Low
GPS Position Mismatch.,Medium
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Take off in P-Mode,Normal
Aircraft Core Board Overheated,High
Video cache has stopped because there is not enough storage space. You can enable Auto Cache Clear or manually delete cache to get enough space,Low
Critical low battery. Aircraft landing automatically,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Precision Landing. Correcting Landing Position.,Normal
Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,Normal
Taking off.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Normal
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Medium
GPS Position Mismatch.,Medium
Sensing system is blocked or too close to the obstacle.,Low
"Cannot switch flight mode. Turn on ""Multiple Flight Modes"" to enable Atti and Sport Modes.",Medium
Taking Off.,Normal
Aircraft flight control obtained by remote controller B,Normal
Critically Low Voltage. Aircraft will land,Medium
Strong Interference Detected. Be careful when flying long distances.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Medium
Home Point Updated.,Normal
Flight Mode Set to Attitude,Normal
Right Dial Locked. Lightly press to adjust.,Low
Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,Normal
Command Timeout,Medium
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Medium
GPS Position Mismatch.,Medium
Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,Normal
"Exit Backward Forward Downward Upward Sensing system, Ambient Light is too weak",Low
Strong wireless interference. Please fly with caution.,Low
Data Recorder File Index is 19.,Normal
Data Recorder File Index is 3.,Normal
Yaw Error.,Low
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
GPS Position Mismatch.,Medium
Aircraft flight control obtained by remote controller UNKNOWN,Normal
Home Point recorded. Return-to-Home Altitude : 98FT,Normal
Landing Gear Raised.,Normal
Attitude is too large.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
RTH : Heading alignment.,Normal
Battery Voltage Difference too large. Check Battery Status,Medium
"Motor speed error. Land or return to home promptly. After powering off the aircraft, replace the propeller on the beeping ESC. If the issue persists, contact DJI Support",High
Cannot track subject: No image. Please retry,Low
GPS Position Mismatch.,Medium
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Strong Interference to Aircraft. Signal interruption may be more likely. Fly with caution.,Low
Taking Off.,Normal
Obstacle sensing not available at night. Adjust RTH altitude to above tallest surrounding building before flying,Low
Excessive gimbal vibration. Check whether gimbal can rotate freely,Low
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Exiting GPS mode: Unknown Error,High
Precision Landing. Rectifying aircraft position.,Normal
At Least Two Waypoints Required,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Satellite positioning off. Fly with Caution.,Low
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Medium
Landing Gear Raising.,Normal
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Medium
Home Point recorded. Return-to-Home Altitude : 98FT.,Normal
Exited Visual Avoidance System.,Normal
GPS Position Mismatch.,Medium
Home Point Recorded. RTH Altitude : 30m.,Normal
Motor is idling (lost or missing propeller),Medium
Landing.,Normal
ActiveTrack Flight Ended: Cannot find subject,Medium
GPS Position Mismatch.,Medium
WarningThe remaining battery is only enough for RTH. Return home now.,Medium
Object too far for laser rangefinder,Normal
Landing Gear Lowered.,Normal
GPS Position Mismatch.,Medium
Landing Gear Raising.,Normal
Taking Off.,Normal
Gimbal Pitch Limit Reached.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Landing Gear Lowered.,Normal
GPS Position Mismatch.,Medium
Distance limit enabled. Fly safely,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Downlink Restored (after 0m 2.9s).,Normal
GPS Position Mismatch.,Medium
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Medium
Strong Remote Controller Interference.,Medium
GPS Position Mismatch.,Medium
Precision Landing. Rectifying aircraft position.,Normal
GPS Position Mismatch.,Medium
Flight Mode Set to Attitude,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Normal
Taking Off.,Normal
GPS Position Mismatch.,Medium
Landing Gear Lowered.,Normal
Camera not calibrated. Image quality affected. Contact DJI Support for assistance,Low
Precision Landing. Locating Landing Point,Normal
GPS Position Mismatch.,Medium
Capture Failed Insufficient storage space. Cannot shoot panorama,Low
GPS Position Mismatch.,Medium
Downlink Lost.,Low
GPS Position Mismatch.,Medium
Downlink Restored (after 0m 2.3s).,Normal
Strong Remote Controller Interference.,Medium
Altitude Zone nnn,Normal
Taking Off.,Normal
Downlink Restored (after 0m 5.8s).,Normal
Strong Interference. Fly with caution.,Low
Braking now! Return sticks to midpoints first.,Low
GEO: You are in a Warning Zone (Airport Class Airspace Unpaved Airports Power Plant). Fly with caution,Low
In Flight.,Normal
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
Aircraft ActiveTrack available at max speed. Obstacle Avoidance is not available,Medium
The flight attitude angle is larger in Sport mode. The gimbal will rotate when the aircraft starts or stops. Use Normal mode if required for stable shooting,Normal
Take off and retry this function.,Normal
GPS Position Mismatch.,Medium
Flight Mode Set to Attitude,Normal
Strong Remote Controller Interference.,Medium
Strong Interference. Fly with caution.,Low
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Normal
Flight Mode Set to Attitude,Normal
Obstacle Avoidance will be disabled in landing.,Normal
RTH : Preascending.,Normal
Aircraft close to Home Point. go home shifts to landing.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Downlink Lost.,Low
Battery power restricted. Aircraft performance decreased to ensure flight safety. Return to home promptly,Medium
Remote ID functionality normal,Normal
Yaw Error.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
"Sprayer turned OFF, sprayed nnn at nnn liters/min",Normal
GPS Position Mismatch.,Medium
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
Flight Mode Set to Attitude,Normal
GPS Position Mismatch.,Medium
"Home Point Recorded, Return-to-Home Altitude : 98FT",Normal
Aircraft GPS interference. Aircraft unable to fly stably. Land or return to home promptly,Medium
Mobile device CPU fully loaded. Related performance will be affected.,Medium
Not Allowed to change Aircraft Mode. If needed,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Downlink Lost.,Low
Taking Off.,Normal
Obstacle Avoided. Revise Flight Route,Medium
Aircraft is in QuickShot Mode. Ensure your enviornment is free of potential obstacles.,Normal
Gimbal Pitch Reached Movement Limit,Low
Capture Failed Shooting interrupted,Low
Home Point Recorded. RTH Altitude : 30m.,Normal
Gimbal Recenter,Normal
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
Aircraft flight control locked,High
Precision Landing. Rectifying aircraft position.,Normal
Forward Obstacle Sensing is not functioning.,Low
Home Point updated. RTH altitude adjusted to nnn,Normal
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Medium
GPS Position Mismatch.,Medium
Attitude is too large. Backward obstacle sensing is unavailable,Low
"Excessive attitude angle detected, forward obstacle avoidance has stopped working",High
Obstacle Avoidance disabled. Landing gear lowered. Obstacle Avoidance has been disabled.,Normal
Data Recorder File Index is 57.,Normal
Home Point recorded. Return-to-Home Altitude : 98FT,Normal
Landing Gear Raised.,Normal
GPS Position Mismatch.,Medium
Gimbal IMU data error. Contact DJI Support for assistance,Low
Strong Remote Controller Interference,Medium
GPS Position Mismatch.,Medium
Yaw Error.,Low
GPS Position Mismatch.,Medium
Backward Obstacle Sensing is not functioning.,Low
GPS Position Mismatch.,Medium
Data Recorder File Index is 19.,Normal
Motors Started.,Normal
GPS Position Mismatch.,Medium
Landing Gear Raised.,Normal
GPS Position Mismatch.,Medium
Strong Interference. Fly with caution.,Low
"Home Point Recorded, Return-to-Home Altitude : 98FT.",Normal
GEO Zone Info: The target area is in an Altitude Zone. Flight altitude restricted to nnn,Low
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Medium
Recharge promptly,Low
GPS Position Mismatch.,Medium
Data Recorder File Index is 18.,Normal
GPS Position Mismatch.,Medium
Precision Landing. Rectifying aircraft position.,Normal
Weak signal. Adjust antennas,Low
GPS Position Mismatch.,Medium
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Strong wireless interference. Please fly with caution.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Downlink Lost.,Low
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
GPS Position Mismatch.,Medium
Compass Redundancy Switch,Normal
Home Point Recorded.,Normal
Flight altitude exceeds nnn. May violate local policies and regulations. Ensure you have obtained proper airspace authorization,Low
AE Locked. Metering disabled,Low
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Landing Protection Activated. Aircraft will decelerate during landing.,Normal
Downward vision sensor calibration error. Auto calibration in progress,High
Setting new Return-To-Home altitude to nnn,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Strong Interference Now. Fly with caution.,Low
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Drag a box around or tap a target on screen. Then tap Go.,Normal
Data Recorder File Index is 5.,Normal
GPS Position Mismatch.,Medium
Attitude is too large.,Low
Return-to-Home Altitude : 65FT,Normal
Your palm is too far away from the aircraft. Please step closer.,Low
GPS Position Mismatch.,Medium
Large Wind Velocity. Fly with caution.,Medium
Error: Course angle control error. Please ensure the propellers are installed on the correct motors,High
Taking Off.,Normal
GPS Position Mismatch.,Medium
Home Point Recorded. RTH Altitude : 30m.,Normal
GPS Position Mismatch.,Medium
Taking off.,Normal
Battery: Connection Error,Medium
Taking Off.,Normal
Precision Landing. Correcting Landing Position.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Home Point Updated.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
"Ambient Light too Weak, Vision Positioning obstacle sensing is unavailable. please ensure safety during the flight",Low
Ground Plain. Safe to Land.,Normal
Ambient Light is too weak.,Low
GPS Position Mismatch.,Medium
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight. Downlink Lost.,Low
Cannot Track Subject. Cannot Identify Subject,Low
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Data Recorder File Index is 2.,Normal
Data Recorder File Index is 13.,Normal
Attitude is too large.,Low
Precision Landing. Rectifying aircraft position.,Normal
GPS Position Mismatch.,Medium
Landing.,Normal
Strong Remote Controller Interference.,Medium
Precision Landing. Rectifying aircraft position.,Normal
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
Strong wireless interference. Please fly with caution.,Low
Attitude is too large.,Low
Remote Controller Right Dial Locked. Lightly press it to adjust.,Low
GPS Position Mismatch.,Medium
Aircraft out of Range,Medium
Tap the screen lightly to focus.,Normal
Aircraft flight control unlocked,Normal
Aircraft out of Range,Medium
GPS Position Mismatch.,Medium
Yaw Error.,Low
Landing gear lowered. Obstacle Avoidance has been disabled.,Normal
High wind velocity. Fly with caution.,Medium
GPS Position Mismatch.,Medium
Data Recorder File Index is 30.,Normal
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Low
Aircraft in Altitude Zone. Max altitude set to nnn,Normal
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",Normal
Downlink Lost.,Low
RTH : Ascending to RTH altitude.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Critical low battery. Unable to take off. Recharge promptly,Medium
"Aircraft is landing due to low voltage, which cannot be stopped. You can decelerate the descending speed and avoid obstacles using sticks",High
Remote controller battery level low. Recharge promptly,Medium
Precision Landing. Correcting Landing Position.,Normal
Warning: Battery Temperature Below 15°C (59F). Warm battery to above 25°C (77F) before flying,Low
Maximum flight distance reached. Adjust the distance in MC Settings if required.,Low
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
RTH : Heading alignment.,Normal
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Low
Taking Off.,Normal
Obstacle Sensing will be disabled when aircraft is landing. Fly with caution.,Normal
GPS Position Mismatch.,Medium
Subject lost. Searching ...,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Landing.,Normal
Cannot Takeoff in Travel Mode. Exit Travel Mode.,Low
GPS Position Mismatch.,Medium
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Switched to P (Positioning)-mode.,Normal
Landing Protection Activated. Aircraft will decelerate during landing.,Normal
Home Point recorded. Return-to-Home Altitude : 98FT.,Normal
Signal Lost. Aircraft returning to Home Point,High
No GPS signal. Unable to take off. Move to an open area or exit flight tutorial,Low
GPS signal weak. Hovering unstable. Fly with caution,Low
Warning: Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,Low
High wind velocity. Fly with caution.,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Taking Off.,Normal
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,Medium
Extra payload detected. Flight performance will be affected. Fly with caution,Low
Downlink Restored (after 0m 1.2s).,Normal
Cannot Identify Subject,Low
Battery installed incorrectly. Detach battery and reinstall it,Medium
Braking now! Return sticks to midpoints first.,Low
Compass Error. Compass data error. Please check the Compass installation and interference,Low
Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution,Low
"Cannot switch flight mode. Turn on ""Multiple Flight Modes"" to enable Atti and Sport Modes",Medium
Capture Failed Distance limit exceeded. Cannot shoot panorama,Low
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
Gimbal stuck. Check whether gimbal lock is removed and ensure gimbal can rotate freely,Low
GPS Position Mismatch.,Medium
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
GPS Position Mismatch.,Medium
Yaw Error.,Low
Landing Gear Raising.,Normal
GPS Position Mismatch.,Medium
Aircraft is returning to the Home Point. RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
RTH Altitude : 65FT.,Normal
Precision Landing. Rectifying aircraft position.,Normal
GPS Position Mismatch.,Medium
Taking Off.,Normal
Ground Plain. Safe to Land.,Normal
Take off and retry this function.,Normal
GPS Position Mismatch.,Medium
Yaw Error.,Low
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
GPS Position Mismatch.,Medium
Tap the screen to focus.,Normal
"Tip: Aircraft reached maximum distance, please pay attention to flight safety",Low
Home Point Recorded.,Normal
Strong Remote Controller Interference.,Medium
AirSense communication error. Unable to display nearby manned aircraft and anti-collision warnings. Fly with caution,Medium
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution.,Medium
GPS Position Mismatch.,Medium
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Low
Subject too Small. Get Closer and retry,Low
Set Flight Mode to GPS to fly safe,Normal
GPS Position Mismatch.,Medium
Rectifying aircraft position,Normal
GPS Position Mismatch.,Medium
Landing Gear Lowered.,Normal
Set Flight Mode to GPS to fly safe,Normal
Tap the screen lightly to focus.,Normal
Propeller guard or extra payload detected. Flight performance will be affected. Fly with caution,Low
Tap the screen lightly to focus.,Normal
Compass Interference. Temp Max Altitude: nnn,Low
Attitude is too large.,Low
Switched to A (Attitude)-mode,Normal
Large Wind Velocity. Fly with caution.,Medium
Cannot Takeoff in Travel Mode. Exit Travel Mode.,Low
Satellite positioning off. Fly with Caution.,Low
Aircraft in Restricted Zone. Unable to take off. Check map to find Recommended Zones,High
Downlink Lost.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
"Aircraft is tilted, please keep the aircraft stationary and level before flight",Low
Attitude is too large.,Low
GPS Position Mismatch.,Medium
Downlink Restored (after 0m 1.7s).,Normal
Ground Plain. Safe to Land.,Normal
GPS Position Mismatch.,Medium
Magnetic Filed Interference. Exit P-GPS Mode. Yaw Error.,Low
Home Point Recorded.,Normal
Taking Off.,Normal
Taking Off.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Barometer initialization failed. Restart aircraft,Low
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Precision Landing. Rectifying aircraft position.,Normal
RTH Altitude : 98FT.,Normal
GPS Position Mismatch.,Medium
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
SD card write speed is too slow. Not suitable for shooting a 4K video.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution. Downlink Lost.,Medium
"Another aircraft is dangerously close, please descend to a safer altitude",Low
Vision sensor(s) blocked. Fly with caution,Low
Navigation system error. Restart aircraft,Medium
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,Medium
API Automatic Takeoff,Normal
Remote controller assisted takeoff initiated.,Normal
Fly with caution and ensure the aircraft remains within your line of sight.,Normal
GPS Position Mismatch.,Medium
Strong wireless interference. Please fly with caution.,Low
GPS Position Mismatch.,Medium
Yaw Error.,Low
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Propellers not installed,Low
GPS module error. Restart aircraft,Low
Yaw Error.,Low
Obstacle Avoidance will be disabled in landing.,Normal
Data Recorder File Index is 46.,Normal
Flight height too low,Low
Gimbal Pitch Limit Reached.,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
Home Point Updated.,Normal
Home Point Updated.,Normal
Large Wind Velocity.,Medium
GPS Position Mismatch.,Medium
Obstacle Avoided. Revise Flight Route,Medium
Attitude is too large.,Low
Data Recorder File Index is 29.,Normal
GPS Position Mismatch.,Medium
Strong Interference Detected. Be careful when flying long distances.,Low
Ensure control sticks are centered during takeoff,Normal
Backward Obstacle Sensing is not functioning.,Low
Gimbal Yaw Limit Reached,Low
No GPS signal. Aircraft unable to hover. Fly with caution,Medium
Camera sensor error Hardware malfunction: Contact DJI Support to arrange for repairs,Low
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
GPS Position Mismatch.,Medium
High Wind Velocity: Fly with caution and ensure the aircraft remains within your line of sight,Medium
Obstacle Avoidance will be disabled in landing.,Normal
Drag a box around or tap a target on screen. Then tap Go.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Ground Plain. Safe to Land.,Normal
High wind velocity. Fly with caution.,Medium
A passenger aircraft is nearby. Fly with caution,Low
Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.,Low
Precision Landing. Rectifying aircraft position.,Normal
Compass Error. Exit P-GPS Mode,High
GPS Position Mismatch.,Medium
Backward sensor(s) blocked. Obstacle avoidance unavailable. Fly with caution,Low
Data Recorder File Index is 5.,Normal
GPS Position Mismatch.,Medium
Landing gear lowered. Obstacle Avoidance has been disabled.,Normal
Home Point Updated.,Normal
GPS Position Mismatch.,Medium
Ground Plain. Safe to Land.,Normal
Strong Interference Now. Fly with caution.,Low
Home Point Recorded. Taking off.,Normal
Data Recorder File Index is 19.,Normal
GPS Position Mismatch.,Medium
Exited Visual Avoidance System.,Normal
Braking now! Return sticks to midpoints first.,Low
GPS Position Mismatch.,Medium
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
In Flight.,Normal
Compass Error. Compass data error. Please contact DJI Support. Compass disconnected,Low
Cannot enter TapFly Mode: Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,Low
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",Normal
Gimbal Yaw Limit Reached,Low
Gimbal calibration error. Restart aircraft or contact DJI Support if the issue persists,Low
"Home Point Recorded, Return-to-Home Altitude : 98FT.",Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Low
Compass Error. Compass Error. Compass data error. Please contact DJI Support,Low
Flight distance may exceed line-of-sight. Fly with caution,Normal
Obstacle Avoidance disabled.,Normal
"Cannot switch flight mode. Turn on ""Multiple Flight Modes"" to enable Atti and Sport Modes.",Medium
Strong wireless interference. Please fly with caution.,Low
Remote controller assisted takeoff initiated.,Normal
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
GPS Position Mismatch.,Medium
